id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1603820825567559680,1603820825567559680,2022-12-16 15:34:17 -03,2022-12-16,15:34:17,-0300,164482837,nachafranco,Nacha Peraza,,"En serio las comparó con las playas del Caribe? 😂

Rezá Malena, rezá 🙏🏻
#libertadresponsable (?)",es,[],[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/nachafranco/status/1603820825567559680,,https://twitter.com/ladiaria/status/1603802160394911755,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1595792967897600000,1595792967897600000,2022-11-24 11:54:26 -03,2022-11-24,11:54:26,-0300,164117531,pablomackenna,pablo mackenna dorr,,No necesitamos censuras ni medios intervenidos. Necesitamos libertad y penas. Si solo pudiésemos aplicar penas a los mentirosos compulsivos de la política se limpia esta mierda sin tocar la libertad de la que abusaron. #libertadresponsable,es,[],[],[],9,12,104,['libertadresponsable'],[],https://twitter.com/pablomackenna/status/1595792967897600000,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1593753719472095237,1593443540369133570,2022-11-18 20:51:11 -03,2022-11-18,20:51:11,-0300,50428926,pfernandezberi,Pablo Fernández Beri🇺🇾🇺🇦 я українець,,"@el_derechoso Eso es producto de dos años de #CuarentenaObligatoria cavernícola como la que el @frente_amplio quería imponer (y hubiera impuesto de haber seguido en el gobierno), viva la #LibertadResponsable! 👏👏🇺🇾🇺🇾🇺🇾💪💪💪",es,"['el_derechoso', 'frente_amplio']",[],[],0,0,0,"['cuarentenaobligatoria', 'libertadresponsable']",[],https://twitter.com/PFernandezBeri/status/1593753719472095237,,,0,,,,,,,,"{'user_id': '1948247486', 'username': 'el_derechoso'}",,,,
1592730114575302656,1592725911144902656,2022-11-16 01:03:45 -03,2022-11-16,01:03:45,-0300,403802054,henrynoboaa,Henry Noboa A,,"@LassoGuillermo “ #LibertadResponsable”
@LuisLacallePou 🇺🇾🌿",und,"['lassoguillermo', 'luislacallepou']",[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/HenryNoboaA/status/1592730114575302656,,,0,,,,,,,,"{'user_id': '300390462', 'username': 'LassoGuillermo'}",,,,
1590389508528566272,1590389508528566272,2022-11-09 14:03:01 -03,2022-11-09,14:03:01,-0300,403802054,henrynoboaa,Henry Noboa A,,"#Uruguay 🇺🇾 BÚSQUEDA Periodismo Objetivo y Responsable #Búsqueda50.

Cc. @LuisLacallePou Búsqueda representa en periodismo y comunicación:
#LibertadResponsable ✅",es,['luislacallepou'],[],[],0,0,1,"['uruguay', 'búsqueda50', 'libertadresponsable']",[],https://twitter.com/HenryNoboaA/status/1590389508528566272,,https://twitter.com/BUSQUEDAonline/status/1590388553380679683,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1586379455911657472,1586379455911657472,2022-10-29 12:28:30 -03,2022-10-29,12:28:30,-0300,341792083,irazabaldiego,Diego Irazábal,,Con mi buen amigo y colega de @GUAlumni @adolfoarguellov 🇲🇽🇺🇸 quien siempre me manifestó su admiración por la política de #LibertadResponsable del Presidente @LuisLacallePou 🇺🇾 dejándole el libro escrito por @dasupervielle junto a @kasmontevideo https://t.co/cTYlmXoy1o,es,"['gualumni', 'adolfoarguellov', 'luislacallepou', 'dasupervielle', 'kasmontevideo']",[],"['https://pbs.twimg.com/media/FgPzs_wUAAga7TC.jpg', 'https://pbs.twimg.com/media/FgPztULUcAAB1Uy.jpg']",1,1,14,['libertadresponsable'],[],https://twitter.com/IrazabalDiego/status/1586379455911657472,,,1,https://pbs.twimg.com/media/FgPzs_wUAAga7TC.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1582723609633882113,1582723609633882113,2022-10-19 10:21:28 -03,2022-10-19,10:21:28,-0300,1369462947207057412,vlyofdespair,elVlyo,,"no deberían haber radares para multar; se debería controlar la velocidad unicamente para meter preso un par de años a cualquiera que tenga un accidente por manejar con exceso de velocidad, independientemente de que haya una muerte o lesionado grave #libertadresponsable",es,[],[],[],2,0,5,['libertadresponsable'],[],https://twitter.com/vlyofdespair/status/1582723609633882113,,https://twitter.com/BautiGilC/status/1582688400070496256,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1582500748289404928,1582447049307729920,2022-10-18 19:35:54 -03,2022-10-18,19:35:54,-0300,50428926,pfernandezberi,Pablo Fernández Beri🇺🇾🇺🇦 я українець,,@LibertariosUru1 👏👏👏🇺🇾🇺🇾🇺🇾💪💪💪 #LibertadResponsable!,und,['libertariosuru1'],[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/PFernandezBeri/status/1582500748289404928,,,0,,,,,,,,"{'user_id': '1037815329760661504', 'username': 'LibertariosUru1'}",,,,
1581272457771552768,1581041465610113024,2022-10-15 10:15:07 -03,2022-10-15,10:15:07,-0300,1495832318535163906,infoguerrascl,InfoGuerrasResistencia 🌳🪚,,@JMPresidente23 La #LibertadResponsable.,und,['jmpresidente23'],[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/InfoGuerrasCL/status/1581272457771552768,,,0,,,,,,,,"{'user_id': '1534083976775749632', 'username': 'JMPresidente23'}",,,,
1576284789492961280,1576284789492961280,2022-10-01 15:55:54 -03,2022-10-01,15:55:54,-0300,138901097,ojedamjuanpablo,Juan Pablo Ojeda Monia 😁,,"Estoy a favor de la vida... De la #LibertadResponsable si tienes sexo sin la medida de prevención de embarazo seguro quedaras embarazada que tu irresponsabilidad no la pague el más pendejo, el no tiene la culpa #AbortaEsAsesinar https://t.co/nrMa3B2XuD",es,[],[],['https://pbs.twimg.com/media/FeAWpvUWQAMTC11.jpg'],0,0,0,"['libertadresponsable', 'abortaesasesinar']",[],https://twitter.com/OjedaMJuanPablo/status/1576284789492961280,,,1,https://pbs.twimg.com/media/FeAWpvUWQAMTC11.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
